model,target,score,params,predictors
glm,SCFHORIZON,0.3311304347826087,"{'C': 0.30000000000000004, 'solver': 'sag'}",FWB1_5++FWB1_2++ABSORBSHOCK++FWB2_4
glm,SCFHORIZON,0.3311304347826087,"{'C': 0.5, 'solver': 'sag'}",SAVINGSRANGES++FWB1_5++ABSORBSHOCK++SAVEHABIT++ENDSMEET
rf,MANAGE1_1,0.7608695652173914,"{'max_depth': 8, 'n_estimators': 28}",MATHARDSHIP_6++MANAGE1_3++PROPPLAN_1++PROPPLAN_3++MANAGE1_2
rf,MANAGE1_1,0.7584347826086957,"{'max_depth': 8, 'n_estimators': 25}",MATHARDSHIP_6++PRODUSE_1++MANAGE1_3++PROPPLAN_1++MANAGE1_2
rf,MANAGE1_1,0.7582608695652174,"{'max_depth': 6, 'n_estimators': 16}",MATHARDSHIP_6++PRODUSE_1++MANAGE1_3++FS1_4++MANAGE1_2
rf,MANAGE1_1,0.7579130434782608,"{'max_depth': 8, 'n_estimators': 22}",MATHARDSHIP_6++MANAGE1_3++PROPPLAN_1++PROPPLAN_4++MANAGE1_2
rf,MANAGE1_1,0.7579130434782608,"{'max_depth': 8, 'n_estimators': 22}",MATHARDSHIP_6++MANAGE1_3++PROPPLAN_2++PROPPLAN_3++MANAGE1_2
rf,MANAGE1_1,0.7577391304347826,"{'max_depth': 6, 'n_estimators': 22}",MATHARDSHIP_6++PRODUSE_1++MANAGE1_3++MANAGE1_2
rf,MANAGE1_1,0.7577391304347826,"{'max_depth': 8, 'n_estimators': 28}",MATHARDSHIP_6++MANAGE1_3++FS1_4++PROPPLAN_1++MANAGE1_2
rf,MANAGE1_1,0.7575652173913043,"{'max_depth': 8, 'n_estimators': 22}",MATHARDSHIP_6++MANAGE1_3++PROPPLAN_1++MANAGE1_2
rf,MANAGE1_1,0.7575652173913043,"{'max_depth': 6, 'n_estimators': 16}",MATHARDSHIP_6++PRODUSE_1++MANAGE1_3++PROPPLAN_2++MANAGE1_2
rf,MANAGE1_1,0.7572173913043478,"{'max_depth': 6, 'n_estimators': 13}",MATHARDSHIP_6++PRODUSE_2++MANAGE1_3++PROPPLAN_2++MANAGE1_2
glm,MANAGE1_1,0.7633043478260869,"{'C': 0.2, 'solver': 'sag'}",MATHARDSHIP_6++PRODUSE_2++MANAGE1_3++MANAGE1_4++PROPPLAN_1
glm,MANAGE1_1,0.7613913043478261,"{'C': 0.4, 'solver': 'sag'}",MATHARDSHIP_6++PRODUSE_1++MANAGE1_3++MANAGE1_4++PROPPLAN_1
glm,MANAGE1_1,0.7612173913043478,"{'C': 0.5, 'solver': 'sag'}",MATHARDSHIP_6++MANAGE1_3++MANAGE1_4++PROPPLAN_2++PROPPLAN_4
glm,MANAGE1_1,0.7610434782608696,"{'C': 0.2, 'solver': 'sag'}",MATHARDSHIP_6++MANAGE1_3++MANAGE1_4++PROPPLAN_1
glm,MANAGE1_1,0.7608695652173914,"{'C': 0.9, 'solver': 'sag'}",MATHARDSHIP_6++MANAGE1_3++MANAGE1_4++PROPPLAN_2
glm,MANAGE1_1,0.7608695652173914,"{'C': 0.5, 'solver': 'sag'}",MATHARDSHIP_6++MANAGE1_3++MANAGE1_4++PROPPLAN_2++PROPPLAN_3
glm,MANAGE1_1,0.760695652173913,"{'C': 0.30000000000000004, 'solver': 'sag'}",MATHARDSHIP_6++PRODUSE_1++MANAGE1_3++MANAGE1_4++PROPPLAN_2
glm,MANAGE1_1,0.76,"{'C': 0.30000000000000004, 'solver': 'sag'}",MATHARDSHIP_6++PRODUSE_2++MANAGE1_3++MANAGE1_4++PROPPLAN_2
glm,MANAGE1_1,0.7594782608695653,"{'C': 0.5, 'solver': 'sag'}",MATHARDSHIP_6++PRODUSE_2++PRODUSE_1++MANAGE1_3++MANAGE1_4
glm,MANAGE1_1,0.7593043478260869,"{'C': 0.30000000000000004, 'solver': 'sag'}",MATHARDSHIP_6++MANAGE1_3++MANAGE1_4++FS1_4++PROPPLAN_2
rf,MANAGE1_2,0.554608695652174,"{'max_depth': 8, 'n_estimators': 19}",ACT1_2++FS1_6++FS1_7++MANAGE1_4++MANAGE1_3
rf,MANAGE1_2,0.5542608695652174,"{'max_depth': 6, 'n_estimators': 28}",ACT1_2++FS1_6++MANAGE1_4++MANAGE1_3++FWB1_4
rf,MANAGE1_2,0.552,"{'max_depth': 6, 'n_estimators': 22}",ACT1_2++FS1_6++FWB2_3++MANAGE1_4++MANAGE1_3
rf,MANAGE1_2,0.5514782608695652,"{'max_depth': 6, 'n_estimators': 22}",ACT1_2++FS1_6++MANAGE1_4++MANAGE1_3++GOALCONF
rf,MANAGE1_2,0.5511304347826087,"{'max_depth': 6, 'n_estimators': 28}",ACT1_2++FS1_6++FWB2_2++MANAGE1_4++MANAGE1_3
rf,MANAGE1_2,0.5500869565217391,"{'max_depth': 6, 'n_estimators': 28}",ACT1_2++FS1_7++FWB2_2++MANAGE1_4++MANAGE1_3
rf,MANAGE1_2,0.5500869565217391,"{'max_depth': 6, 'n_estimators': 25}",ACT1_2++FS1_7++MANAGE1_4++MANAGE1_3++FWB1_4
rf,MANAGE1_2,0.5492173913043479,"{'max_depth': 8, 'n_estimators': 13}",FS1_6++FS1_7++FWB2_3++MANAGE1_4++MANAGE1_3
rf,MANAGE1_2,0.5483478260869565,"{'max_depth': 8, 'n_estimators': 19}",ACT1_2++FWB2_2++FWB2_3++MANAGE1_4++MANAGE1_3
rf,MANAGE1_2,0.5481739130434783,"{'max_depth': 8, 'n_estimators': 25}",FS1_6++FS1_7++MANAGE1_4++MANAGE1_3
glm,MANAGE1_2,0.5636521739130435,"{'C': 0.1, 'solver': 'sag'}",FS1_6++ACT1_2++FWB2_2++MANAGE1_4++MANAGE1_3
glm,MANAGE1_2,0.5598260869565217,"{'C': 0.1, 'solver': 'sag'}",FS1_6++ACT1_2++FWB2_3++MANAGE1_4++MANAGE1_3
glm,MANAGE1_2,0.5570434782608695,"{'C': 0.1, 'solver': 'sag'}",ACT1_2++FWB2_2++MANAGE1_4++MANAGE1_3++GOALCONF
glm,MANAGE1_2,0.5558260869565217,"{'C': 0.30000000000000004, 'solver': 'sag'}",FS1_7++FWB2_3++MANAGE1_4++MANAGE1_3++GOALCONF
glm,MANAGE1_2,0.5556521739130434,"{'C': 0.1, 'solver': 'sag'}",FS1_6++ACT1_2++MANAGE1_4++MANAGE1_3++GOALCONF
glm,MANAGE1_2,0.5556521739130434,"{'C': 0.30000000000000004, 'solver': 'sag'}",FS1_6++FWB2_2++MANAGE1_4++MANAGE1_3++GOALCONF
glm,MANAGE1_2,0.5556521739130434,"{'C': 0.1, 'solver': 'sag'}",FS1_6++FWB2_3++MANAGE1_4++MANAGE1_3++GOALCONF
glm,MANAGE1_2,0.5553043478260871,"{'C': 0.4, 'solver': 'sag'}",FS1_6++ACT1_2++FS1_7++MANAGE1_4++MANAGE1_3
